file,folder,mean_luminance
C:\Users\micha\Desktop\AGNG\Images\Happy\BF09_HO.jpg,B,0.0900815948843956
C:\Users\micha\Desktop\AGNG\Images\Happy\BF10_HO.jpg,B,0.0878906324505806
C:\Users\micha\Desktop\AGNG\Images\Happy\BF14_HO.jpg,B,0.08820533752441406
C:\Users\micha\Desktop\AGNG\Images\Happy\BF18_HO.jpg,B,0.12242360413074493
C:\Users\micha\Desktop\AGNG\Images\Happy\BM01_HO.jpg,B,0.08949583768844604
C:\Users\micha\Desktop\AGNG\Images\Happy\BM02_HO.jpg,B,0.08439920842647552
C:\Users\micha\Desktop\AGNG\Images\Happy\BM03_HO.jpg,B,0.08746901154518127
C:\Users\micha\Desktop\AGNG\Images\Happy\BM08_HO.jpg,B,0.059973910450935364
C:\Users\micha\Desktop\AGNG\Images\Happy\HF04_HE.jpg,B,0.08297841995954514
C:\Users\micha\Desktop\AGNG\Images\Happy\HF05_HO.jpg,B,0.09840415418148041
C:\Users\micha\Desktop\AGNG\Images\Happy\HF09_HE.jpg,B,0.08145792782306671
C:\Users\micha\Desktop\AGNG\Images\Happy\HF10_HE.jpg,B,0.08258994668722153
C:\Users\micha\Desktop\AGNG\Images\Happy\HM04_HO.jpg,B,0.09646399319171906
C:\Users\micha\Desktop\AGNG\Images\Happy\HM06_HO.jpg,B,0.08082736283540726
C:\Users\micha\Desktop\AGNG\Images\Happy\HM09_HO.jpg,B,0.09182556718587875
C:\Users\micha\Desktop\AGNG\Images\Happy\WF04_HC.jpg,B,0.08502588421106339
C:\Users\micha\Desktop\AGNG\Images\Happy\WF05_HC.jpg,B,0.07725363224744797
C:\Users\micha\Desktop\AGNG\Images\Happy\WF11_HE.jpg,B,0.07649485021829605
C:\Users\micha\Desktop\AGNG\Images\Happy\WM11_HC.jpg,B,0.0851735919713974
C:\Users\micha\Desktop\AGNG\Images\Happy\WM12_HE.jpg,B,0.09885218739509583
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF01_NC.jpg,C,0.10221368074417114
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF07_NC.jpg,C,0.09813285619020462
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF07NES.jpg,C,0.09572529047727585
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF09NES.jpg,C,0.0942242220044136
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF10_NC.jpg,C,0.09090154618024826
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF11NES.jpg,C,0.097157783806324
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF24NES.jpg,C,0.09899676591157913
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF25NES.jpg,C,0.10765199363231659
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF30NES.JPG,C,0.09708039462566376
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF32NES.jpg,C,0.09634958207607269
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF33NES.jpg,C,0.06363382935523987
C:\Users\micha\Desktop\AGNG\Images\Scram1\AF34NES.jpg,C,0.09816524386405945
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM02_NC.jpg,C,0.08076363801956177
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM03_NC.jpg,C,0.09011852741241455
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM03NES.jpg,C,0.100367471575737
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM04_NC.jpg,C,0.09953339397907257
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM05NES.jpg,C,0.09574687480926514
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM06_NC.jpg,C,0.07119739055633545
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM09_NC.jpg,C,0.09825858473777771
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM09NES.jpg,C,0.09799589961767197
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM10NES.jpg,C,0.09607716649770737
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM13NES.jpg,C,0.09814055263996124
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM17NES.jpg,C,0.08972412347793579
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM22NES.jpg,C,0.11334101855754852
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM23NES.jpg,C,0.09696847200393677
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM31NES.jpg,C,0.09540469944477081
C:\Users\micha\Desktop\AGNG\Images\Scram1\AM34NES.JPG,C,0.09577237814664841
C:\Users\micha\Desktop\AGNG\Images\Scram1\BF05_NC.jpg,C,0.07777092605829239
C:\Users\micha\Desktop\AGNG\Images\Scram1\BF07_NC.jpg,C,0.09262076020240784
C:\Users\micha\Desktop\AGNG\Images\Scram1\BF10_NC.jpg,C,0.0932278260588646
C:\Users\micha\Desktop\AGNG\Images\Scram1\BF14_NC.jpg,C,0.08369798958301544
C:\Users\micha\Desktop\AGNG\Images\Scram1\BF18_NC.jpg,C,0.0778970867395401
C:\Users\micha\Desktop\AGNG\Images\Scram1\BM01_NC.jpg,C,0.10108459740877151
C:\Users\micha\Desktop\AGNG\Images\Scram1\BM08_NC.jpg,C,0.0804145559668541
C:\Users\micha\Desktop\AGNG\Images\Scram1\HF04_NC.jpg,C,0.09146907925605774
C:\Users\micha\Desktop\AGNG\Images\Scram1\HF05_NC.jpg,C,0.10501715540885925
C:\Users\micha\Desktop\AGNG\Images\Scram1\HF09_NC.jpg,C,0.10372157394886017
C:\Users\micha\Desktop\AGNG\Images\Scram1\HF10_NO.jpg,C,0.10183995217084885
C:\Users\micha\Desktop\AGNG\Images\Scram1\HM04_NC.jpg,C,0.09020335972309113
C:\Users\micha\Desktop\AGNG\Images\Scram1\HM06_NC.jpg,C,0.08362530171871185
C:\Users\micha\Desktop\AGNG\Images\Scram1\HM09_NC.jpg,C,0.0700206458568573
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF01_NC.jpg,C,0.10190212726593018
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF07_NC.jpg,C,0.09757822006940842
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF07NES.jpg,C,0.09598367661237717
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF09NES.jpg,C,0.09527115523815155
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF10_NC.jpg,C,0.09090154618024826
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF11NES.jpg,C,0.09608718007802963
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF24NES.jpg,C,0.10018932819366455
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF25NES.jpg,C,0.09654781967401505
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF30NES.JPG,C,0.09817342460155487
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF32NES.jpg,C,0.09461142122745514
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF33NES.jpg,C,0.06363382935523987
C:\Users\micha\Desktop\AGNG\Images\Scram2\AF34NES.jpg,C,0.09840407222509384
C:\Users\micha\Desktop\AGNG\Images\Scram2\AM02_NC.jpg,C,0.08076363801956177
